

U+2EED	⻭	212143123452
U+2EA2	⺢	24334

U+3038	〸	21

U+9FED	鿭	3111535234

U+3026	〦	(4|2)1

U+3028	〨	(4|2)111

U+2B6E1	𫛡	345435451

U+21484	𡒄	1214125251111234

U+23E28	𣸨	441122454334

U+24236	𤈶	43342512534

U+2CBA4	𬮤	(245|425)341251

U+9FEB	鿫	3115325431234134

U+2B6F6	𫛶	12512345335451

U+309AD	𰦭	1325113534

U+24D8A	𤶊	4134134(4|1)154

U+337B	㍻	1(34|43)12135(534|543)

U+251A7	𥆧	25111(245|425)1121

U+3024	〤	34

U+2620C	𦈌	5511251234

U+2A88C	𪢌	251(245|425)125431234

U+23A3C	𣨼	1354122245252

U+2B689	𫚉	35251211121

U+28C4D	𨱍	31115451154(52|552)

U+303B	〻	5

U+201F9	𠇹	3254121

U+2620F	𦈏	55135152511

U+21DB4	𡶴	252414313

U+21967	𡥧	521513444

U+9FD4	鿔	311151251212512

U+2E64B	𮙋	4512544134(1|4)111251

U+247A4	𤞤	1224313(353|533)

U+25B20	𥬠	31431435511

U+2AED0	𪻐	11213434

U+2B692	𫚒	3525121151532

U+30EDD	𰻝	445343511554(1|4)11125155431545513154224544(454|4454|4554)

U+3021	〡	2

U+30EDE	𰻞	445343511554(1|4)111251554(12|21)111534(12|21)11254444(12|21)111534224544(454|4454|4554)

U+2E428	𮐨	12225342534531

U+9FEC	鿬	1325125121

U+337C	㍼	25115325131234251

U+2BD95	𫶕	25212245251251

U+20A7A	𠩺	11234313413

U+26215	𦈕	551341(2|3)51122

U+2980C	𩠌	355(34|43)1134(454|4454|4554)

U+29F81	𩾁	352512111241344

U+25AE3	𥫣	314314151

U+3025	〥	5
U+2966B	𩙫	3534544251214
U+20BB6	𠮶	251342
U+2D6A6	𭚦	515413
U+22B0D	𢬍	121131344
U+28C3F	𨰿	31115315
U+3029	〩	3134
U+311ED	𱇭	352512111431234
U+273D6	𧏖	2512144453212134
U+3022	〢	22
U+22650	𢙐	(244|424|442)453534
U+3125D	𱉝	32511(15|35|53)35451
U+3027	〧	211
U+2B418	𫐘	(1512|1521)131251(4544534|4544543|5344544|5434544)
U+27BAA	𧮪	4521251
U+3001	、	4
U+337D	㍽	13412121
U+2B812	𫠒	3525121141431251112
U+2B5E6	𫗦	3551251124
U+2C9C0	𬧀	251(215|2121)(241|412)(354|3344|3443)124
U+299E2	𩧢	(12|21)11254444(12|21)11254444(12|21)11254444
U+3023	〣	222
U+2816C	𨅬	251(215|2121)(245|425)125431234
U+2AA0A	𪨊	5133434
U+2A248	𪉈	(215|2121)(15|35|53)35451
U+3005	々	354
U+23370	𣍰	35111431234
U+28001	𨀁	251(215|2121)13534
U+31275	𱉵	143123435451
U+310F2	𱃲	3551345
U+20BE0	𠯠	2514354
U+31152	𱅒	551551551
U+20BEA	𠯪	2511354
U+21CDE	𡳞	513431234354152
U+2B7F7	𫟷	3111541431
U+337E	㍾	2511351144154251
U+F9E7	裏	4125111213534
U+F995	秊	31234312
U+FA0C	兀	135
U+FA0D	嗀	1214512513554
U+2EAE	⺮	314314
U+2E8F	𫍟	4531525
U+3005	々	354
U+3021	〡	2
U+3022	〢	22
U+3023	〣	222
U+3024	〤	34
U+3025	〥	5
U+3026	〦	21
U+3027	〧	211
U+3028	〨	2111
U+3029	〩	(3134|54)
U+3038	〸	12
U+303B	〻	5
U+3105	ㄅ	5
U+3127	ㄧ	(1|2)
U+3124	ㄤ	135
U+337B	㍻	1(34|43)12135(534|543)
U+337C	㍼	25115325131234251
U+337D	㍽	13412121
U+2AA0A	𪨊	5133434
U+2A88C	𪢌	251(245|425)125431234
U+2CE29	𬸩	32543123413435451
U+201F9	𠇹	3254121
U+20BB6	𠮶	251342
U+20BE0	𠯠	2514354
U+2A8A0	𪢠	251(122|1212|2112)(245|425)125431234


